name,city,state,country,position,Latitude,Longitude,type,designation,images,website,description,radius
Cranborne Chase AONB,,"Dorset, Hampshire and Wiltshire Counties",England,"[-2.04409, 50.96142 ]",50.96142,-2.04409,Reserve,2019,{},http://www.ccwwdaonb.org.uk/,,50000
Exmoor National Park,,Somerset and Devon,England,"[ -3.6, 51.1 ]",51.1,-3.6,Reserve,2011,{},https://www.exmoor-nationalpark.gov.uk/enjoying/stargazing,,50000
Kerry,,County Kerry,Ireland,"[-10.205847, 51.951817 ]",51.951817,-10.205847,Reserve,2014,{},http://kerrydarksky.com/,,50000
Mont-Mégantic National Park,,Quebec,Canada,"[ -71.1625, 45.456944 ]",45.456944,-71.1625,Reserve,2007,{},http://ricemm.org/en/,,50000
Moore’s Reserve,,South Downs,England,"[ -0.367, 50.911 ]",50.911,-0.367,Reserve,2011,{},https://www.southdowns.gov.uk/,,50000
NamibRand Nature Reserve,,Namib Desert,Namibia,"[ 16, -25 ]",-25,16,Reserve,2012,{},http://www.namibrand.com/,,50000
Pic du Midi,,Hautes-Pyrénées,France,"[ 0.142778, 42.936389]",42.936389,0.142778,Reserve,2013,{},https://picdumidi.com/,,50000
Rhön,,Gersfeld,Germany,"[9.9442, 50.4979 ]",50.4979,9.9442,Reserve,2014,{},https://biosphaerenreservat-rhoen.de/sternenpark,,50000
River Murray,Cambrai,South Australia,Australia,"[ 139.4466, -34.3761 ]",-34.3761,139.4466,Reserve,2019,{},https://www.rivermurraydarkskyreserve.org/,,50000
Snowdonia National Park,,Snowdonia,Wales,"[ -3.85, 52.9 ]",52.9,-3.85,Reserve,2015,{},https://www.snowdonia.gov.wales/visiting/things-to-do/astrophotography,,50000
Westhavelland,,Westhavelland,Germany,"[ 12.4253, 52.7006]",52.7006,12.4253,Reserve,2014,{},https://www.sternenpark-westhavelland.de/,,50000
!Ae!Hai Kalahari Heritage Park,,,South Africa,"[ 20.383333, -25.766667]",-25.766667,20.383333,Sanctuary,2019,{},https://www.xauslodge.co.za/,,50000
Aotea / Great Barrier Island,,Great Barrier Island,New Zealand,"[175.416667, -36.2 ]",-36.2,175.416667,Sanctuary,2017,{},https://www.greatbarrier.co.nz/,,50000
Devils River State Natural Area – Del Norte Unit,Val Verde County,Texas,United States,"[ -100.970328, 29.923011 ]",29.923011,-100.970328,Sanctuary,2019,{},https://tpwd.texas.gov/state-parks/devils-river/dark-skies,,50000
Gabriela Mistral Sanctuary,,Elqui Valley,Chile,"[ -70.80639, -30.16972]",-30.16972,-70.80639,Sanctuary,2015,{},http://www.aura-o.aura-astronomy.org/aura/,,50000
Massacre Rim WSA Dark Sky Sanctuary,Washoe County,Nevada,United States,"[-119.68,  40.63]",40.63,-119.68,Sanctuary,2019,{},https://www.nevadawilderness.org/massacre_rim_wsa_dark_sky_sanctuary,,50000
Pitcairn Islands,,,Pitcairn Islands,"[-130.1, -25.066667 ]",-25.066667,-130.1,Sanctuary,2019,{},http://www.visitpitcairn.pn/dark_sky/index.html,,50000
Rainbow Bridge National Monument,San Juan County,Utah,United States,"[ -110.964167, 37.077222]",37.077222,-110.964167,Sanctuary,2018,{},https://www.nps.gov/rabr/index.htm,,50000
Stewart Island / Rakiura,,Foveaux Strait,New Zealand,"[ 167.84, -47 ]",-47,167.84,Sanctuary,2019,{},https://www.stewartisland.co.nz/,,50000
The Jump-Up / Age of Dinsoaurs,Winton,Queensland,Australia,"[143.1827,  -22.4791]",-22.4791,143.1827,Sanctuary,2019,{},https://www.australianageofdinosaurs.com/,,50000
Salar de Uyuni,,"Daniel Campos Province, Potosi",Bolivia,"[-67.489133,  -20.133775]",-20.133775,-67.489133,N/A,,{},https://www.rutaverdebolivia.com/tour/uyuni-stargazing-tour/,,50000
Atacama Desert,,,Chile,"[-69.25,  -24.5]",-24.5,-69.25,N/A,,{},https://www.atacamadesertstargazing.com/#!/-home/,,50000
Erg Chebbi,Merzouga,,Morocco,"[ -3.983333, 31.166667]",31.166667,-3.983333,N/A,,{},https://www.moroccodesertstargazing.com/,,50000
Erg Chigaga,,,Morocco,"[-6.25, 29.8278 ]",29.8278,-6.25,N/A,,{},https://www.desertcampmorocco.com/,,50000
Caye Caulker,Caye Caulker Village,,Belize,"[-88.025, 17.7425 ]",17.7425,-88.025,N/A,,{},https://www.gocayecaulker.com/,,50000
Guanacaste Province,,Guanacaste Province,Costa Rica,"[-85.4, 10.433333 ]",10.433333,-85.4,N/A,,{},https://www.guachipelin.com/blog/en/stargazing-in-guanacaste-costa-rica/,,50000
Wadi Rum,,,Jordan,"[35.42, 29.593056 ]",29.593056,35.42,N/A,,{},https://www.rum-sky.com/,,50000
Gunung Bromo,,,Indonesia,"[112.95, -7.941667 ]",-7.941667,112.95,N/A,,{},https://www.indonesia.travel/de/en/destinations/java/bromo-tengger-semeru-national-park/mount-bromo,,50000
Sequoia Parks Conservancy Dark Sky Festival,Three Rivers,California,United States,"[ -118.8249169, 36.4911725]",36.4911725,-118.8249169,Festival,,{},https://www.sequoiaparksconservancy.org/darkskyfestival.html,,50000
Lassen Volcanic Dark Sky Festival,Drakesbad,California,United States,"[ -121.4206552, 40.49766 ]",40.49766,-121.4206552,Festival,,{},https://www.nps.gov/lavo/planyourvisit/dark-sky.htm,,50000
Cook County Dark Sky Festival,Grand Marais,Minnesota,United States,"[-90.3749393, 47.7597831 ]",47.7597831,-90.3749393,Festival,,{},https://www.visitcookcounty.com/event/dark-sky-festival/,,50000
Jasper Dark Sky Festival,Jasper,Alberta,Canada,"[ -117.9542938, 52.873383]",52.873383,-117.9542938,Festival,,{},https://jasperdarksky.travel/,,50000
Sangre Dark Sky Festival,Westcliffe,Colorado,United States,"[-105.4856431, 38.1292427 ]",38.1292427,-105.4856431,Festival,,{},https://www.darkskiescolorado.org/,,50000
Acadia Dark Sky Festival,Bar Harbor,Maine,United States,"[-68.410375, 44.3583123 ]",44.3583123,-68.410375,Festival,,{},http://www.acadianightskyfestival.org/,,50000
South Downs Dark Sky Festival,Midhurst,West Sussex,United Kingdom,"[-0.367, 50.911 ]",50.911,-0.367,Festival,,{},https://www.southdowns.gov.uk/enjoy/events/south-downs-dark-skies-festival-2020/,,50000
North York Moors and Yorkshire Dales Dark Sky Festival,"The Old Vicarage, Bondgate, Helmsley, York",North Yorkshire,United Kingdom,"[ -0.892714, 54.38716]",54.38716,-0.892714,Festival,,{},https://www.northyorkmoors.org.uk/visiting/whats-on/dark-skies-festival,,50000
Exmoor Dark Skies Festival,Dulverton,Somerset,United Kingdom,"[ -3.552937, 51.040565]",51.040565,-3.552937,Festival,,{},https://www.exmoor-nationalpark.gov.uk/enjoying/stargazing/dark-skies-festival,,50000
Mayo Dark Sky Park,Ballycroy Village,County Mayo ,Ireland,"[ -9.8233278, 54.0244585]",54.0244585,-9.8233278,Park,,{},http://www.mayodarkskypark.ie/,,50000
Joshua Tree Dark Sky Festival,Twentynine Palms,California,United States,"[ -116.2248103, 34.1646533 ]",34.1646533,-116.2248103,Festival,,{},https://www.skysthelimit29.org/night-sky-festival.html,,50000
Thebacha & Wood Buffalo Dark Festival,Fort Smith,Northwest Territory,Canada,"[-112.8764021, 59.4395031 ]",59.4395031,-112.8764021,Festival,,{},https://www.tawbas.ca/dark-sky-festival.html,,50000
East Sierra Dark Sky Festival,Mammoth Lakes,California,United States,"[-119.0880253, 37.6197082 ]",37.6197082,-119.0880253,Festival,,{},https://www.easternsierraobservatory.com/eastern-sierra-dark-sky-festival,,50000
Qaleraliq Glacier camp/Tasiusaq Hostel,,,Greenland,"[-44.819722, 60.193056 ]",60.193056,-44.819722,N/A,,{},https://visitgreenland.com/about-greenland/northern-lights/,,50000
